"","Year","Quarter","Number.of.workers..in.thousands....Total","Number.of.workers..in.thousands....Men","Number.of.workers..in.thousands....Women","Median.weekly.earnings..in.current.dollars....Total","Median.weekly.earnings..in.current.dollars....Men","Median.weekly.earnings..in.current.dollars....Women","Median.weekly.earnings..in.constant.dollars....Total","Median.weekly.earnings..in.constant.dollars....Men","Median.weekly.earnings..in.constant.dollars....Women"
"1",2009,4,34,2,2,747,823,666,344,379,307
"2",2010,1,33,1,1,748,836,662,344,384,304
"3",2010,2,35,3,7,742,814,671,342,374,309
"4",2010,3,2,6,9,746,821,670,342,377,308
"5",2010,4,37,5,5,750,826,676,341,376,308
"6",2011,1,36,4,3,750,821,679,338,370,306
"7",2011,2,1,7,6,754,830,687,336,370,306
"8",2011,3,3,8,4,760,836,681,336,370,301
"9",2011,4,4,9,8,760,838,686,335,369,302
"10",2012,1,5,11,10,764,841,693,335,368,303
"11",2012,2,6,10,12,772,870,687,337,380,300
"12",2012,3,7,12,11,766,836,693,333,364,302
"13",2012,4,8,13,13,771,868,690,333,375,298
"14",2013,1,9,14,14,768,860,699,331,370,301
"15",2013,2,10,15,14,777,863,706,335,372,304
"16",2013,3,11,16,15,779,855,705,334,367,302
"17",2013,4,12,17,16,782,865,712,334,369,304
"18",2014,1,13,18,18,790,865,716,335,367,304
"19",2014,2,14,19,17,781,860,715,330,363,302
"20",2014,3,15,20,19,798,878,721,336,370,304
"21",2014,4,16,21,20,795,878,724,336,371,306
"22",2015,1,17,22,21,801,886,724,341,377,307
"23",2015,2,18,23,22,803,890,726,339,376,306
"24",2015,3,19,24,23,810,896,727,341,377,306
"25",2015,4,20,25,24,822,904,730,345,380,307
"26",2016,1,21,26,25,823,903,743,346,380,312
"27",2016,2,22,27,26,827,914,744,345,382,311
"28",2016,3,24,28,28,833,917,750,346,381,312
"29",2016,4,23,29,27,846,924,760,349,382,314
"30",2017,1,25,30,29,857,940,759,351,385,311
"31",2017,2,26,31,30,862,939,780,353,385,320
"32",2017,3,27,32,31,865,943,771,353,385,314
"33",2017,4,28,33,33,854,943,771,345,381,312
"34",2018,1,29,34,32,874,955,776,350,383,311
"35",2018,2,30,35,34,880,964,780,351,385,312
"36",2018,3,31,36,35,893,980,801,355,389,318
"37",2018,4,32,37,36,897,991,796,355,392,315
